orf	norm	dens	count	len	total
YER144C_3_utr	0.000	0.000	0	73	1698134
YER145C	114.680	194.741	237	1217	1698134
YER145C_3_utr	0.000	0.000	0	69	1698134
YER145C_5_utr	0.000	0.000	0	13	1698134
YER146W	221.867	376.761	107	284	1698134
YER146W_3_utr	0.000	0.000	0	71	1698134
YER147C	3.765	6.393	12	1877	1698134
YER147C_3_utr	0.000	0.000	0	37	1698134
YER147C_5_utr	0.000	0.000	0	26	1698134
YER148W	155.140	263.448	191	725	1698134
YER148W_3_utr	0.000	0.000	0	176	1698134
YER149C	28.397	48.221	61	1265	1698134
YER149C_3_utr	0.000	0.000	0	251	1698134
