#gene ID (SGD database)	Initial_Footprint_1_rpkm	5min_Footprint_1_rpkm	30min_Footprint_1_rpkm	Initial_Footprint_2_rpkm	5min_Footprint_2_rpkm	30min_Footprint_2_rpkm	Initial_mRNA_1_rpkm	5min_mRNA_1_rpkm	30min_mRNA_1_rpkm	5min_mRNA_2_rpkm	30min_mRNA_2_rpkm
orf	rdens.init.rpkm1	rdens.5min.rpkm1	rdens.30min.rpkm1	rdens.init.rpkm2	rdens.5min.rpkm2	rdens.30min.rpkm2	mrna.init.rpkm1	mrna.5min.rpkm1	mrna.30min.rpkm1	mrna.5min.rpkm2	mrna.30min.rpkm2
YBL074C	7.839161514	5.925128108	11.56150007	7.729469416	4.665468935	11.67318582	10.42676769	8.769660682	15.33951565	8.498977256	20.81969391
YBL075C	0.747721825	0.66434641	3.383605665	0.557378482	0.43722539	8.709151021	14.8531753	12.21577219	28.19570339	10.7687942	35.22970519
YBL076C	426.2315777	360.2401902	133.4924432	450.8293562	369.1465888	98.57679976	149.011233	148.4070703	123.1635805	160.3312459	101.8062271
YBL078C	46.83564657	95.80712208	675.1064321	47.67609156	59.70966823	484.2688548	26.04747436	44.03493164	352.9127071	25.72131421	278.6230737
YBL079W	30.70182685	19.34575541	11.22891878	25.86588711	18.29689258	11.11108702	19.18990265	21.17925764	18.57884909	21.05605844	22.51414725
YBL080C	6.293547018	4.939788511	17.02956543	6.790171646	5.645106982	15.35833824	9.39897911	10.71239944	25.99571374	9.83105811	23.35791108
YBL081W	17.62221971	13.50683764	6.781262594	13.66142261	11.3123567	4.525090301	10.59843088	11.90455723	5.495530424	25.63081172	8.746202877
YBL082C	28.47348798	15.97656872	14.55702776	26.56801592	17.66163462	11.23859308	55.78017747	57.53798706	44.62314291	73.39341288	42.1526368
YBL084C	7.352589764	8.920002559	22.56726179	7.959739655	5.647578309	16.92117907	9.738338355	9.827585583	18.473762	11.07782785	21.60864405
YBL085W	17.80803544	13.02676675	20.75014143	17.78546761	15.00325419	23.16323436	21.91248437	21.18404407	29.17875307	27.74622142	35.2982242
YBL086C	11.02739851	12.46989957	55.5501468	8.66041668	7.326017799	46.54738021	12.28653624	16.04798534	71.30128796	9.733391866	51.80838999
YBL088C	1.492134688	0.703952089	1.629692144	1.223415039	1.2463181	1.077032778	4.885339363	4.80299592	5.79480515	5.338741222	7.291040362
YBL089W	13.33882326	11.90633332	22.08075051	11.68099827	8.267715798	15.83689095	18.52466194	19.98579005	26.02623357	19.91218715	26.835127
YBL090W	78.04315779	69.47573519	104.0218946	57.3408517	71.56795331	110.5877774	58.97458708	65.68452914	109.0791453	55.01027729	87.14314445
YBL091C	164.8011148	126.5581811	147.2270332	148.3763999	124.1626989	151.8897629	158.8347729	153.2342801	267.5695115	179.9217449	212.3877394
YBL091C-A	20.49995683	24.50424142	92.62752267	21.27173294	24.12741826	73.13352609	27.07984919	25.73083569	105.1034813	33.16734829	94.0540164
YBL092W	4390.90254	2181.792214	425.3390739	3869.366848	2586.349843	543.9844332	4768.585839	3409.394274	543.432619	3199.576291	477.0615569
YBL093C	67.53212541	62.7254719	55.92902199	53.73970806	60.41359891	42.25881434	90.06575063	68.25945864	40.68043613	109.8825734	78.40275003
YBL095W	3.658458617	5.516031906	8.247260184	2.839516658	2.968492629	6.15206107	15.44273027	11.10161056	16.29161147	10.18110302	14.24185756
YBL097W	13.87392788	13.05678511	12.52897864	12.85960979	11.14604989	11.22528944	5.487265514	8.318943585	6.909115608	7.488244381	8.016540714
YBL098W	16.7577607	17.24297386	15.96741566	11.77129993	9.877045388	9.161263376	16.78753654	17.39079264	25.11125296	21.56300662	20.59413787
YBL099W	278.3530966	258.0612883	547.4775832	294.1144241	250.7417491	566.7690954	130.5904305	156.8962662	400.9297551	140.6514749	419.8568093
YBL101C	12.86240419	9.568439386	36.08366418	13.44450927	9.976191709	35.7723929	4.630371263	6.15182978	26.38573286	6.667708177	32.20908818
YBL102W	76.88124141	82.38461232	146.7651119	68.84125371	53.9490654	99.80909987	149.4596835	147.6872103	281.5592536	170.8808965	208.9352954
YBL103C	18.49801163	14.8098972	28.98963462	15.32838272	11.92598377	20.31807297	18.9124526	20.9035469	30.55634213	21.5124737	29.3492055
YBL104C	12.65451653	8.25606941	12.5745432	12.38744016	11.12627754	10.78898112	14.39007807	11.63516493	16.81718841	12.93933342	19.11260791
YBL105C	22.06944316	13.40372331	26.16956904	18.69014055	12.40053806	23.18829236	21.12432654	21.46664227	43.47773665	22.23113486	43.28686696
